subject,session,trial,item,phase,time,stimEnc,stimRetrieval,pairedWords,cue,expectedAnswer,stim_pair,response_time,rec_success,recall,wordlist_number
M1005,0,0,0,ENCODING,1730754082401.5774,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,0,1,ENCODING,1730754087409.864,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,0,2,ENCODING,1730754092417.1504,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,0,0,CUEDRECALL,1730754136070.6472,999,False,"['TRIBE', 'LUNCH']",['TRIBE'],['LUNCH'],LD1_LD2,8016.575963718822,verbalization,<>,-1
M1005,0,0,1,CUEDRECALL,1730754145167.1675,999,False,"['OWL', 'PIN']",['OWL'],['PIN'],LD1_LD2,8016.575963718822,verbalization,<>,-1
M1005,0,0,2,CUEDRECALL,1730754154167.6821,999,False,"['PLANT', 'RAKE']",['PLANT'],['RAKE'],LD1_LD2,8016.575963718822,verbalization,<>,-1
M1005,0,0,0,RECOGNITION,1730754175373.8953,False,False,"['PIN', 'OWL']",['PIN'],old,LD1_LD2,4268.243896484375,hit,old,999
M1005,0,0,1,RECOGNITION,1730754182392.2964,999,False,"['ICE', '']",['ICE'],new,LD1_LD2,2025.115966796875,correct_rejection,new,999
M1005,0,0,2,RECOGNITION,1730754189449.7002,999,False,"['HOOF', '']",['HOOF'],new,LD1_LD2,2441.1396484375,correct_rejection,new,999
M1005,0,0,3,RECOGNITION,1730754196558.107,False,False,"['LUNCH', 'TRIBE']",['LUNCH'],old,LD1_LD2,1790.102294921875,hit,old,999
M1005,0,0,4,RECOGNITION,1730754203616.5105,999,False,"['MARSH', '']",['MARSH'],new,LD1_LD2,1765.10107421875,correct_rejection,new,999
M1005,0,0,5,RECOGNITION,1730754210683.9148,False,False,"['RAKE', 'PLANT']",['RAKE'],old,LD1_LD2,1766.10107421875,hit,old,999
M1005,0,1,0,ENCODING,1730754234985.305,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,1,1,ENCODING,1730754240066.5952,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,1,2,ENCODING,1730754245107.8838,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,1,0,CUEDRECALL,1730754273793.5244,999,True,"['SOUP', 'SKUNK']",['SOUP'],['SKUNK'],LD1_LD2,8016.575963718822,verbalization,<>,-1
M1005,0,1,1,CUEDRECALL,1730754282899.0452,999,True,"['PALM', 'BIRD']",['PALM'],['BIRD'],LD1_LD2,8015.600907029479,verbalization,<>,-1
M1005,0,1,2,CUEDRECALL,1730754291923.5613,999,True,"['HOLE', 'SNACK']",['HOLE'],['SNACK'],LD1_LD2,8016.575963718822,verbalization,<>,-1
M1005,0,1,0,RECOGNITION,1730754306950.421,999,True,"['RUG', '']",['RUG'],new,LD1_LD2,3241.185302734375,correct_rejection,new,999
M1005,0,1,1,RECOGNITION,1730754314041.8264,999,True,"['FLAME', '']",['FLAME'],new,LD1_LD2,2541.1455078125,miss,old,999
M1005,0,1,2,RECOGNITION,1730754321144.2327,False,True,"['SNACK', 'HOLE']",['SNACK'],old,LD1_LD2,2455.140380859375,hit,old,999
M1005,0,1,3,RECOGNITION,1730754328182.6353,False,True,"['SKUNK', 'SOUP']",['SKUNK'],old,LD1_LD2,2900.165771484375,hit,old,999
M1005,0,1,4,RECOGNITION,1730754335275.0408,False,True,"['BIRD', 'PALM']",['BIRD'],old,LD1_LD2,3383.193603515625,hit,old,999
